country,pagerank_as_destination,pagerank_as_passport,in_degree,out_degree,betweenness,hub_authority_gap,name
TUR,0.005524076109099914,0.004371948325639887,105,111,0.003546984114632941,-0.001152127783460027,Turkey
UKR,0.006949837403534056,0.002924425603720544,81,131,0.0011196756725838763,-0.004025411799813512,Ukraine
ARE,0.01077601322913845,0.00348091211141154,93,169,0.007832069537812928,-0.007295101117726911,United Arab Emirates
VAT,0.007237025559553416,0.0037394953184396234,93,135,0.0005633448701176801,-0.0034975302411137926,Vatican
ZMB,0.002370661913122648,0.00770785144334932,145,62,0.0010559014138200938,0.0053371895302266725,Zambia
ZWE,0.0023867031508582005,0.007957096594901543,144,59,0.0015395244974063685,0.005570393444043343,Zimbabwe
DZA,0.0034344875261794017,0.001069127196465089,7,54,0.0004207693075663643,-0.0023653603297143127,Algeria
AGO,0.0018070125100554746,0.005345748101989492,101,47,0.00041909568019633483,0.0035387355919340177,Angola
BEN,0.0034123032977033865,0.005658762990690126,61,59,0.0022991546049457904,0.0022464596929867393,Benin
ECU,0.003688765292034527,0.008212252089424795,152,85,0.003973839495165386,0.004523486797390269,Ecuador
ETH,0.002086576286223316,0.006819334949856546,119,42,0.002097782431514868,0.00473275866363323,Ethiopia
GHA,0.0031641301685791214,0.005501513086215358,62,64,0.002051027881747487,0.002337382917636237,Ghana
GIN,0.0026899163011734556,0.0025909027289001,22,53,0.0002135658347365809,-9.901357227335567e-05,Guinea
LBN,0.001820461932083382,0.004626257181641586,103,43,0.0012157210967899072,0.002805795249558204,Lebanon
LBY,0.002234939163471548,0.0008330649696276781,2,40,4.002724406481918e-06,-0.0014018741938438698,Libya
MLI,0.003411378635463366,0.002723846511288215,26,50,0.0005871605271767248,-0.0006875321241751509,Mali
MHL,0.006106656816510326,0.005008312111002089,110,110,0.0026262580390353668,-0.0010983447055082371,Marshall Islands
MRT,0.002982787681572482,0.0013827902197754889,9,52,0.00017717436310492045,-0.001599997461796993,Mauritania
MAR,0.0035719139570416676,0.0032421907191702943,78,71,0.0029101253674612883,-0.0003297232378713733,Morocco
