iso3,value,year,wb_name
TMN,10218178.0,2023,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)"
TON,750.0,2023,Tonga
TSA,3686310.0,2023,South Asia (IDA & IBRD)
TSS,24339990.5,2023,Sub-Saharan Africa (IDA & IBRD countries)
TTO,5130.0,2023,Trinidad and Tobago
TUN,163610.0,2023,Tunisia
TUR,785350.0,2023,Turkiye
TUV,30.0,2023,Tuvalu
TZA,947300.0,2023,Tanzania
UGA,241550.0,2023,Uganda
UKR,603550.0,2023,Ukraine
URY,176220.0,2023,Uruguay
USA,9831510.0,2023,United States
UZB,448920.0,2023,Uzbekistan
VCT,390.0,2023,St. Vincent and the Grenadines
VEN,912050.0,2023,"Venezuela, RB"
VGB,150.0,2023,British Virgin Islands
VIR,350.0,2023,Virgin Islands (U.S.)
VNM,331338.31,2023,Viet Nam
VUT,12190.0,2023,Vanuatu
WLD,140539257.229,2023,World
WSM,2840.0,2023,Samoa
YEM,527970.0,2023,"Yemen, Rep."
ZAF,1219090.0,2023,South Africa
ZMB,752610.0,2023,Zambia
ZWE,390760.0,2023,Zimbabwe
